channel_ref,channel_name,source,notes,channel_id
https://www.youtube.com/channel/UC2xSdm2Cj3HN-Uf6_r90QmQ,Brainrot Rankings,search:funny gaming moments,,UC2xSdm2Cj3HN-Uf6_r90QmQ
https://www.youtube.com/channel/UCzXwjTI6c6mVn6oui_p6oiw,SMii7Y,search:funny gaming moments,,UCzXwjTI6c6mVn6oui_p6oiw
https://www.youtube.com/channel/UCQMjMW-9PhWoH6TWwmnVWvA,CallMeCarson,search:funny gaming moments,,UCQMjMW-9PhWoH6TWwmnVWvA
https://www.youtube.com/channel/UCpkf8GoIjz8LhfdpM6q7C9g,Shinyu Ranking,search:funny gaming moments,,UCpkf8GoIjz8LhfdpM6q7C9g
https://www.youtube.com/channel/UCXQ_4o9suWlKtAUUfqn9I5Q,PUBG TV,search:funny gaming moments,,UCXQ_4o9suWlKtAUUfqn9I5Q
https://www.youtube.com/channel/UCDQZcZZwv-RhxHxJpHCdmbQ,ESL Counter-Strike Highlights,search:gaming highlights,,UCDQZcZZwv-RhxHxJpHCdmbQ
https://www.youtube.com/channel/UC--i2rV5NCxiEIPefr3l-zQ,TSN,search:gaming highlights,,UC--i2rV5NCxiEIPefr3l-zQ
https://www.youtube.com/channel/UC_9W6Z5Y3lDpLk47Y_y5ITQ,Daily Valorant,search:gaming highlights,,UC_9W6Z5Y3lDpLk47Y_y5ITQ
https://www.youtube.com/channel/UCpcTrCXblq78GZrTUTLWeBw,FIFA,search:gaming highlights,,UCpcTrCXblq78GZrTUTLWeBw
https://www.youtube.com/channel/UCA1d3HFGFUmkKr2JIUA5Vlw,VALORANT Champions Tour,search:gaming highlights,,UCA1d3HFGFUmkKr2JIUA5Vlw
https://www.youtube.com/channel/UCGs7jwMxLUDsgMwx8z63UmQ,LikeARoss,search:gaming highlights,,UCGs7jwMxLUDsgMwx8z63UmQ
https://www.youtube.com/channel/UCNh6l4YXwX0QtYKA-CXZDEw,Sahiljat FF7,search:gaming highlights,,UCNh6l4YXwX0QtYKA-CXZDEw
https://www.youtube.com/channel/UC7VWLs_Ivccq22rM2_xo0Rg,PGL DOTA2,search:gaming highlights,,UC7VWLs_Ivccq22rM2_xo0Rg
https://www.youtube.com/channel/UCgaPRP68bbyHnfkPhWWBrNw,PC Gamer,search:gaming highlights,,UCgaPRP68bbyHnfkPhWWBrNw
https://www.youtube.com/channel/UCwlKnVP2b9m2riIqBFrAUfw,Paper Rex,search:gaming highlights,,UCwlKnVP2b9m2riIqBFrAUfw
https://www.youtube.com/channel/UCWJ2lWNubArHWmf3FIHbfcQ,NBA,search:gaming highlights,,UCWJ2lWNubArHWmf3FIHbfcQ
https://www.youtube.com/channel/UCUnl-a9yHKC3Hd6Qqd3QMTw,Wolvinn,search:gaming highlights,,UCUnl-a9yHKC3Hd6Qqd3QMTw
https://www.youtube.com/channel/UC0LrZO9wORIqn_aRJtKdgfA,GAMETIME HIGHLIGHTS,search:gaming highlights,,UC0LrZO9wORIqn_aRJtKdgfA
https://www.youtube.com/channel/UCPhab209KEicqPJFAk9IZEA,Onivia LCK LPL LEC LCS Highlights,search:gaming highlights,,UCPhab209KEicqPJFAk9IZEA
https://www.youtube.com/channel/UCttPiE_XpMtFJ-uppDlm1Sw,ADMINO Gaming,search:gaming highlights,,UCttPiE_XpMtFJ-uppDlm1Sw
https://www.youtube.com/channel/UCEQ7KR9enYdQsB6kcMnw0NA,Mortismal Gaming,search:gaming highlights,,UCEQ7KR9enYdQsB6kcMnw0NA
https://www.youtube.com/channel/UCNaJguAvBzQH4y4Av8jQuRw,Torcida Gamers,search:gaming highlights,,UCNaJguAvBzQH4y4Av8jQuRw
https://www.youtube.com/channel/UCd5hdemikI6GxwGKhJCwzww,Highlight Reel,search:gaming highlights,,UCd5hdemikI6GxwGKhJCwzww
https://www.youtube.com/channel/UCHz48UgsMnPWIr_eug9w7qQ,SPower Gaming,search:gaming highlights,,UCHz48UgsMnPWIr_eug9w7qQ
https://www.youtube.com/channel/UC33-OkQ6VCYk8xtml8Pk4-g,NRL - National Rugby League,search:gaming highlights,,UC33-OkQ6VCYk8xtml8Pk4-g
https://www.youtube.com/channel/UCICiZl0IRinmgAG3cB3psbQ,Aspecticor,search:speedrun,,UCICiZl0IRinmgAG3cB3psbQ
https://www.youtube.com/channel/UCwBh4mBv-QrIynWxCj-8AVw,zenith,search:speedrun,,UCwBh4mBv-QrIynWxCj-8AVw
https://www.youtube.com/channel/UCMv8AQ1djXQ_0FNROhKDJCA,SanOne,search:speedrun,,UCMv8AQ1djXQ_0FNROhKDJCA
